問い合わせ番号,ステータス,発注機関,機関タイプ,発注地域,件名,フェーズ,サブカテゴリ,年度,入札種別,案件登録日,入札日,開札日,落札会社名,落札金額,落札金額(数値),予定金額,応札企業,応札社数,ノイズ判定,重複除外,採用レコード
N21214862,入札中,国立大学法人/北海道大学,都道府県,北海道,米国サーモフィッシャーサイエンティフィック社製 微量分光光度計 NanoDrop Ultra NDULTRAGL-S3-CP25 一式,④構築,RAG構築,FY2025,競争・公募,2025-12-10,2025-12-16,,,,,,,,,,○
N21211276,入札中,独立行政法人製品評価技術基盤機構,独法,東京都,【役務】生成AIアプリ作成研修及び伴走支援,①研修,,FY2025,競争・公募,2025-12-10,2026-01-28,,,,,,,,,,○
R26960664,落札結果,神戸市,市区町村,兵庫県,神戸市生成AIプラットフォーム（Dify Community）環境構築業務【神戸市】,④構築,生成AI（その他）,,,,,2025-12-10,リコージャパン株式会社兵庫支社,6979500,6979500,,,,,,○
N21210161,入札中,国立大学法人/東海国立大学機構/名古屋大学,独法,愛知県,治験データ分析用生成AI基盤構築 一式,④構築,生成AI（その他）,FY2025,競争・公募,2025-12-09,2025-12-12,,,,,,,,,,○
N21207055,入札中,国土交通省/新千歳空港事務所,その他,北海道,【東京航空局新千歳空港事務所】ＲＡＧ空港用ＩＴＶ装置構成機器交換作業,④構築,AI（その他）,FY2025,競争・公募,2025-12-09,2025-12-18,,,,,,,,,,○
N21206399,入札中,独立行政法人産業技術総合研究所,独法,茨城県,生成AI基盤モデル開発用計算機,④構築,生成AI（その他）,FY2025,競争・公募,2025-12-09,2025-12-23,,,,,,,,,,○
N21202694,入札中,独立行政法人理化学研究所,独法,兵庫県,生成AI構造Sampling法のシステム開発及び高度化,④構築,生成AI（その他）,FY2025,競争・公募,2025-12-08,2025-12-24,,,,,,,,,,○
N21198741,入札中,大学共同利用機関法人/情報・システム研究機構,独法,東京都,ActiveScale P100 (storage3.4)保守更新 一式,⑤運用,,FY2025,競争・公募,2025-12-08,2025-12-19,,,,,,,,,,○
R27015040,落札結果,国土交通省,国,東京都,生成AIチャットアプリケーションの試行版構築・検討業務,③PoC,,,,,,2025-12-04,ソフトバンク株式会社,17600000,17600000,17793776,,,,,○
R26774683,落札結果,東京都,都道府県,東京都,都立学校経営企画室向けAIチャットボット構築委託,④構築,チャットボット,,,,,2025-12-04,富士通Ｊａｐａｎ株式会社,7374400,7374400,,"{応札企業名＝富士通Ｊａｐａｎ株式会社、応札結果・備考＝、応札金額＝6704000},{応札企業名＝ＮＴＴ東日本株式会社、応札結果・備考＝、応札金額＝6740000},{応札企業名＝株式会社大塚商会、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社プラージュ、応札結果・備考＝辞退、応札金額＝},{応札企業名＝日本トータルテレマーケティング株式会社、応札結果・備考＝辞退、応札金額＝}",15,,,○
N21175997,入札中,その他兵庫県市町村/姫路市,市区町村,兵庫県,LGWAN対応生成AIサービス導入事業（RFP）申込必要【姫路市】,④構築,生成AIサービス導入,FY2025,競争・公募,2025-12-02,2025-12-08,,,,,,,,,,○
N21167700,入札中,独立行政法人農業・食品産業技術総合研究機構,独法,茨城県,施設栽培専門家生成AI( プロトタイプ) 開発業務,④構築,生成AI（その他）,FY2025,競争・公募,2025-12-01,2025-12-25,,,,,,,,,,○
N21166048,入札中,防衛省/航空自衛隊/第4補給処,,埼玉県,ＢＡＴＴＥＲＹ，ＳＴＯＲＡＧＥ,,,,競争・公募,2025-12-01,2025-12-10,,,,,,,,ノイズ,,
R27004041,落札結果,防衛省,,千葉県,輸入 航空機部品（部品算定）ＤＩＡＰＨＲＡＧＭ外6件,,,,,,,2025-11-28,丸紅エアロスペース株式会社,14421000,14421000,14429800,,,ノイズ,,
R27003353,落札結果,独立行政法人宇宙航空研究開発機構,独法,東京都,審査会業務効率化に資するセキュアな生成AI基盤の試作および高度化の検討,④構築,生成AI（その他）,,,,,2025-11-28,株式会社政策基礎研究所,5805250,5805250,,,,,,○
R26832489,落札結果,長野県市町村/長野市,,長野県,Ultra Gene Asssy Respiratory pathogens 34ほか【長野市】,,,,,,,2025-11-28,アズサイエンス株式会社甲信越支店,410300,410300,,,,ノイズ,,
N21155517,入札中,独立行政法人農業・食品産業技術総合研究機構,独法,茨城県,施設栽培専門家生成AI( プロトタイプ) 開発業務,④構築,生成AI（その他）,FY2025,競争・公募,2025-11-27,2025-12-25,,,,,,,,,,○
R27022706,落札結果,防衛装備庁,国,東京都,代替案分析業務における生成ＡＩ機能の活用に関する検討役務１件,④構築,生成AI（その他）,,,,,2025-11-27,富士通株式会社,90186800,90186800,,,,,,○
R27001897,落札結果,防衛省,,埼玉県,ＢＡＴＴＥＲＹ，ＳＴＯＲＡＧＥ8EA,,,,,,,2025-11-27,株式会社Ｓ．Ｔ．ディバイス,22667700,22667700,,,,ノイズ,,
N21148489,入札中,財団法人/JKA,独法,東京都,AI エージェント構築に係る委託,④構築,AI（その他）,FY2025,競争・公募,2025-11-26,,,,,,,,,,,○
R27001885,落札結果,防衛省,,埼玉県,ＢＡＴＴＥＲＹ，ＳＴＯＲＡＧＥ,,,,,,,2025-11-26,株式会社Ｓ．Ｔ．ディバイス,20607000,20607000,,,,ノイズ,,
R26741438,落札結果,埼玉県,都道府県,埼玉県,生成AI及びチャットサービス提供業務,④構築,生成AIサービス導入,,,,,2025-11-26,シフトプラス株式会社,6750000,6750000,,{応札企業名＝シフトプラス株式会社、応札結果・備考＝落札、応札金額＝6750000},3,,,○
N21145433,入札中,全国健康保険協会,その他,東京都,チャットボットの構築 ・運用保守業務委託,⑤運用,,FY2025,競争・公募,2025-11-25,2026-01-16,,,,,,,,,,○
N21145088,入札中,独立行政法人産業技術総合研究所,独法,"茨城県,東京都",生成AI基盤モデル開発用計算機,④構築,生成AI（その他）,FY2025,競争・公募,2025-11-25,2025-12-15,,,,,,,,,,○
R26781433,落札結果,国立大学法人,独法,愛媛県,診療業務支援用生成AIシステム,④構築,生成AI（その他）,,,,,2025-11-25,Ubie株式会社,14080000,14080000,,,,,,○
R26746380,落札結果,独立行政法人港湾空港技術研究所,独法,神奈川県,港湾施設の利用可否判断に係るガイドライン等の運用支援のための生成AI活用方策検討業務,⑤運用,,,,,,2025-11-25,みずほリサーチ＆テクノロジーズ株式会社,1470000,1470000,5500000,,,,,○
N21135614,入札中,国土交通省,国,東京都,生成AIチャットアプリケーションの試行版構築・検討業務,③PoC,,FY2025,競争・公募,2025-11-21,2025-12-03,,,,,,,,,,○
R27002792,落札結果,防衛省,国,東京都,生成ＡＩを用いた業務効率化ツールの開発1式,④構築,生成AI（その他）,,,,,2025-11-21,株式会社ＲＵＴＩＬＥＡ,69996300,69996300,69996300,,,,,○
R26895080,落札結果,独立行政法人製品評価技術基盤機構,独法,東京都,生成AIに関する講演会及びハンズオン研修実施業務,①研修,,,,,,2025-11-21,株式会社グッドワークス,935000,935000,,,,,,○
R26843009,落札結果,その他埼玉県市町村/神川町,市区町村,埼玉県,神川町ＡＩチャットボット構築業務委託【神川町】,④構築,チャットボット,,,,,2025-11-21,株式会社エヌ・ティ・ティ エムイー,1435000,1435000,1440000,,,,,○
R26781204,落札結果,愛知県,都道府県,愛知県,ＡＩ自動応答チャットボットシステム「ＬｏｇｉｃａｌＭｉｎｄ」（株式会社マインドシフト社製）一式,④構築,チャットボット,,,,,2025-11-21,ＴＯＰＰＡＮ株式会社 中部事業部,2838000,2838000,,{応札企業名＝ＴＯＰＰＡＮ株式会社　中部事業部、応札結果・備考＝落札、応札金額＝2838000},3,,,○
N21131167,入札中,独立行政法人住宅金融支援機構,独法,東京都,ＡＩチャットボット等の導入及び運用等業務,⑤運用,,FY2025,競争・公募,2025-11-20,2026-01-27,,,,,,,,,,○
N21128828,入札中,岐阜県市町村/大垣市,市区町村,岐阜県,生成AI活用による業務効率化の試行利用に係る情報提供依頼（RFI）【大垣市】,②設計,,FY2025,競争・公募,2025-11-20,2025-12-23,,,,,,,,,,○
N21127388,入札中,海上保安庁,国,東京都,ＳＴＯＲＡＧＥ ＶＥＳＳＥＬ―ＧＡＳ ８個買入,④構築,AI（その他）,FY2025,競争・公募,2025-11-20,2026-01-15,,,,,,,,,,○
R26867909,落札結果,独立行政法人宇宙航空研究開発機構,独法,東京都,審査会業務効率化に資するセキュアな生成AI基盤の試作および高度化の検討,④構築,生成AI（その他）,,,,,2025-11-20,株式会社政策基礎研究所,5277500,5277500,,{応札企業名＝株式会社政策基礎研究所、応札結果・備考＝*********、応札金額＝},3,,,○
N21127029,入札中,警察庁,国,東京都,生成AIを用いたフィッシングサイト判定情報提供等役務,④構築,生成AI（その他）,FY2025,競争・公募,2025-11-19,2025-12-18,,,,,,,,,,○
N21125549,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2025,競争・公募,2025-11-19,,,,,,,,,,,○
N21125515,入札中,その他,,全国,【米軍案件】VALVE、DIAPHRAGM CON,,,,競争・公募,2025-11-19,,,,,,,,,ノイズ,,
N21124284,入札中,海上保安庁,国,東京都,【海上保安庁 特航25063】STORAGE VESSEL-GAS 8個買入,④構築,RAG構築,FY2025,競争・公募,2025-11-19,2026-01-15,,,,,,,,,,○
N21122110,入札中,岐阜県,都道府県,岐阜県,ＵｌｔｒａＧｅｎｅ Ａｓｓａｙ Ｒｅｓｐｉｒａｔｏｒｙ ｐａｔｈｏｇｅｎｓ ２２の購入について,④構築,AI（その他）,FY2025,競争・公募,2025-11-19,2025-11-27,,,,,,,,,,○
R27001836,落札結果,防衛省,,岐阜県,ＤＩＡＰＨＲＡＧＭ１０ＥＡ,,,,,,,2025-11-19,双日エアロスペース株式会社,15599100,15599100,,,,ノイズ,,
R26929854,落札結果,独立行政法人情報処理推進機構,独法,東京都,AIエージェントシステムに関する状況および評価方法の調査研究,④構築,AI（その他）,,,,,2025-11-19,株式会社エヌ・ティ・ティ・データ経営研究所,49280000,49280000,,,,,,○
R26701178,落札結果,東京都,都道府県,東京都,令和７年度 ＲＡＧの機能向上に向けたデータ整備その他業務委託,④構築,AI（その他）,,,,,2025-11-19,ロボフィス株式会社,15070000,15070000,,"{応札企業名＝ロボフィス株式会社、応札結果・備考＝、応札金額＝13700000},{応札企業名＝アバナード株式会社、応札結果・備考＝、応札金額＝18450000},{応札企業名＝株式会社日立製作所、応札結果・備考＝、応札金額＝33130000},{応札企業名＝株式会社プラージュ、応札結果・備考＝辞退、応札金額＝}",12,,,○
N21120598,入札中,独立行政法人海洋研究開発機構,独法,神奈川県,ＲＡＧ機能を組み込んだＡＩチャットボットシステムの構築・導入業務,④構築,チャットボット,FY2025,競争・公募,2025-11-18,2025-12-24,,,,,,,,,,○
N21120439,入札中,京都市,市区町村,京都府,生成AIサービス提供業務におけるサービス提供（交通局）【京都市】,④構築,生成AIサービス導入,FY2025,競争・公募,2025-11-18,2025-12-09,,,,,,,,,,○
N21117858,入札中,青森県,都道府県,青森県,青森県生成AI導入業務（DX推進課）,④構築,生成AIサービス導入,FY2025,競争・公募,2025-11-18,2025-12-08,,,,,,,,,,○
N21113694,入札中,最高裁判所/最高裁判所,国,東京都,ｅ事件管理システム等のＡＩチャットボットシステムの構築等及び運用保守（令和８年度運用開始分）,⑤運用,,FY2025,競争・公募,2025-11-17,2026-01-16,,,,,,,,,,○
N21111092,入札中,その他,その他,全国,【米軍案件】ADAPTER、RACK、STORAG,④構築,RAG構築,FY2025,競争・公募,2025-11-17,,,,,,,,,,,○
R26914958,落札結果,日本年金機構,独法,東京都,内部事務の効率化に向けた生成ＡＩ活用環境の提供（保守・運用管理を含む） 一式,⑤運用,,,,,,2025-11-17,株式会社ＮＴＴデータ,114449192,114449192,114449192,,,,,○
R26883369,落札結果,厚生労働省,国,東京都,内部事務の効率化に向けた生成ＡＩ活用環境の提供（保守・運用管理を含む） 一式,⑤運用,,,,,,2025-11-17,株式会社NTTデータ,114449192,114449192,114449192,,,,,○
R26831948,落札結果,京都府,都道府県,京都府,令和7年度離職者等再就職訓練事業初めての生成AI活用科委託業務,④構築,生成AI（その他）,,,,,2025-11-13,株式会社アイシーエル,7722000,7722000,,,,,,○
R27008877,落札結果,独立行政法人情報通信研究機構,独法,東京都,Beyond 5G時代の高信頼マルチモーダル会話 AIエージェントの自動評価基盤の研究,④構築,AI（その他）,,,,,2025-11-12,株式会社エキュメノポリス,139876000,139876000,,,,,,○
N21089763,入札中,国土交通省/東京空港事務所,,東京都,神津島RAG外2か所発電設備等1年保守その他作業（東京航空局 東京空港事務所）,,,,競争・公募,2025-11-11,2025-11-18,,,,,,,,ノイズ,,
N21084228,入札中,国土交通省/大阪航空局,,"大阪府,福岡県,沖縄県",下地島空港RAG空港用ITV装置調整作業,,,,競争・公募,2025-11-10,2025-12-05,,,,,,,,ノイズ,,
N21083995,入札中,国土交通省/大阪航空局,,"大阪府,沖縄県",下地空港RAG空港用ITV装置調整作業,,,,競争・公募,2025-11-10,2025-12-16,,,,,,,,ノイズ,,
R26814410,落札結果,その他熊本県市町村/菊池市,市区町村,熊本県,令和7年度 AIチャットボット利用【菊池市】,④構築,チャットボット,,,,,2025-11-10,株式会社エヌ・アイ・ケイ,2027820,2027820,,,,,,○
N21079476,入札中,石川県市町村/珠洲市,市区町村,石川県,珠洲市生成AIサービス提供業務【珠洲市】,④構築,生成AIサービス導入,FY2025,競争・公募,2025-11-07,2025-12-03,,,,,,,,,,○
